vendor_id,legal_name,display_name,aliases,status,category,historical_spend_12m,currency,default_payment_terms,default_cost_center,contact_name,contact_title,contact_email,contact_phone,contract_file,remittance_profile_ref
VND-1001,Northstar Cloud Services LLC,Northstar Cloud,"Northstar Cloud|NCS Cloud",active,cloud_software,38450.00,USD,NET_30,TECH-OPS,Maya Bennett,Accounts Receivable,ar@northstar-cloud.example,312-555-0101,contracts/VND-1001_northstar_cloud.md,vendor-remittance/VND-1001
VND-1002,LedgerLock Security Inc.,LedgerLock,"LedgerLock|Ledger Lock Security",active,cloud_software,52200.00,USD,NET_30,SECURITY,Evan Cole,Billing Specialist,billing@ledgerlock.example,312-555-0102,contracts/VND-1002_ledgerlock_security.md,vendor-remittance/VND-1002
VND-1003,Prism Analytics Corporation,Prism Analytics,"Prism Analytics|Prism BI",active,cloud_software,29100.00,USD,NET_45,DATA-PLATFORM,Nora Singh,Finance Operations,invoices@prism-analytics.example,312-555-0103,contracts/VND-1003_prism_analytics.md,vendor-remittance/VND-1003
VND-1004,Meridian Office Supply Company,Meridian Office Supply,"Meridian Office Supplies|Meridian Supply Co.",active,office_supplies,46780.00,USD,NET_45,CORP-ADMIN,Theo Brooks,Accounts Receivable,ar@meridian-supply.example,312-555-0104,contracts/VND-1004_meridian_office_supply.md,vendor-remittance/VND-1004
VND-1005,Cedar Paper Products LLC,Cedar Paper,"Cedar Paper|Cedar Products",active,office_supplies,31240.00,USD,NET_30,CORP-ADMIN,Lena Ortiz,Billing Coordinator,billing@cedar-paper.example,312-555-0105,contracts/VND-1005_cedar_paper_products.md,vendor-remittance/VND-1005
VND-1006,Workbench Furnishings Inc.,Workbench Furnishings,"Workbench|Workbench Office",active,office_supplies,68400.00,USD,NET_30,WORKPLACE,Owen Park,Commercial Accounts,accounts@workbench-furnishings.example,312-555-0106,contracts/VND-1006_workbench_furnishings.md,vendor-remittance/VND-1006
VND-1007,Clearwater Facilities Group Inc.,Clearwater Facilities,"Clearwater Facilities|CFG Services",active,facilities_maintenance,70200.00,USD,NET_30,FACILITIES,Iris Morgan,Accounts Receivable,ar@clearwater-facilities.example,312-555-0107,contracts/VND-1007_clearwater_facilities.md,vendor-remittance/VND-1007
VND-1008,Summit HVAC Services LLC,Summit HVAC,"Summit HVAC|Summit Mechanical",active,facilities_maintenance,44850.00,USD,NET_30,FACILITIES,Caleb Ross,Service Billing,servicebilling@summit-hvac.example,312-555-0108,contracts/VND-1008_summit_hvac.md,vendor-remittance/VND-1008
VND-1009,BrightLine Electrical Contractors Inc.,BrightLine Electrical,"BrightLine|Bright Line Electrical",active,facilities_maintenance,26730.00,USD,NET_30,FACILITIES,Zoe Kim,Contract Billing,billing@brightline-electrical.example,312-555-0109,contracts/VND-1009_brightline_electrical.md,vendor-remittance/VND-1009
VND-1010,Apex Data Migration LLC,Apex Data Migration,"Apex Migration|ADM Consulting",inactive,professional_services,70000.00,USD,NET_30,TECH-PROJECTS,Marcus Lee,Project Accounting,accounting@apex-migration.example,312-555-0110,contracts/VND-1010_apex_data_migration.md,vendor-remittance/VND-1010
VND-1011,Harbor Legal Operations LLP,Harbor Legal Ops,"Harbor Legal|HLO",active,professional_services,62000.00,USD,NET_45,LEGAL,Sofia Grant,Billing Manager,billing@harbor-legal.example,312-555-0111,contracts/VND-1011_harbor_legal_operations.md,vendor-remittance/VND-1011
VND-1012,Beacon Advisory Partners LLC,Beacon Advisory,"Beacon Advisory|Beacon Partners",active,professional_services,96000.00,USD,NET_30,FINANCE,Jonah Reed,Engagement Billing,invoices@beacon-advisory.example,312-555-0112,contracts/VND-1012_beacon_advisory.md,vendor-remittance/VND-1012
VND-1013,Redline Courier Services Inc.,Redline Courier,"Redline Courier|Redline Same-Day",active,logistics_freight,18940.00,USD,NET_15,OPERATIONS,Ada Flores,Customer Billing,billing@redline-courier.example,312-555-0113,contracts/VND-1013_redline_courier.md,vendor-remittance/VND-1013
VND-1014,Great Lakes Freight Company,Great Lakes Freight,"GL Freight|Great Lakes Logistics",active,logistics_freight,87600.00,USD,NET_30,LOGISTICS,Miles Turner,Freight Accounting,freightbilling@greatlakes-freight.example,312-555-0114,contracts/VND-1014_great_lakes_freight.md,vendor-remittance/VND-1014
VND-1015,ParcelWorks Distribution LLC,ParcelWorks,"Parcel Works|ParcelWorks Distribution",active,logistics_freight,34520.00,USD,NET_30,OPERATIONS,Amara Patel,Accounts Receivable,ar@parcelworks.example,312-555-0115,contracts/VND-1015_parcelworks_distribution.md,vendor-remittance/VND-1015
VND-1016,Juniper Creative Studio LLC,Juniper Creative,"Juniper Creative|Juniper Studio",active,marketing_events,58000.00,USD,NET_30,MARKETING,Leo Ward,Studio Billing,billing@juniper-creative.example,312-555-0116,contracts/VND-1016_juniper_creative.md,vendor-remittance/VND-1016
VND-1017,Signal Media Buying Inc.,Signal Media,"Signal Media|Signal Buying",active,marketing_events,124500.00,USD,NET_45,MARKETING,Mae Chen,Client Finance,clientfinance@signal-media.example,312-555-0117,contracts/VND-1017_signal_media.md,vendor-remittance/VND-1017
VND-1018,EventCraft Productions LLC,EventCraft Productions,"EventCraft|Event Craft",active,marketing_events,78300.00,USD,NET_30,EVENTS,Drew Wallace,Event Accounting,accounting@eventcraft.example,312-555-0118,contracts/VND-1018_eventcraft_productions.md,vendor-remittance/VND-1018
